variable,Niet-Vinex_mean,Niet-Vinex_sd,Vinex_mean,Vinex_sd,pval
woz,302629.856420906,840139.812757887,260022.542623113,404150.769428328,2.70201771540498e-30
eengezins,0.618382829568098,0.485786309453722,0.794101132873138,0.404363603838468,0
VBOBOUWJAAR,2007.07539673013,1.67612779797699,2006.87003335866,1.66682105177058,7.67548495176218e-75
VBOOPPERVLAKTE,168.271592329136,626.193579208686,154.961211880926,287.414868261562,1.06489730600316e-06
age,42.3792884065974,12.7972084766886,38.464081646134,10.8770318833691,0
AANTALPERSHH,2.42289871077714,1.33321404032591,2.54589292202002,1.74250259458652,7.59668467820639e-29
spouse,0.613929368832977,0.48685002221,0.595435479076527,0.490815674025343,1.84227396973292e-08
dutch,0.922802679278803,0.26690588142667,0.894408296726888,0.307319401998352,6.18579053425708e-46
children,0.273785801742972,0.44590304242521,0.355021963866962,0.478527880243669,2.54267671132083e-145
employed,0.76245408493986,0.425581986756761,0.850183307461109,0.356897545792552,8.26577969929849e-262
hh_income,1146913.12819005,32665842.5173757,1434873.61673878,36771701.9849943,0.229676501731469
comm_dist,18618.0454296458,26207.0380365154,17769.4276167314,22547.8189374566,2.39843110619053e-06
oad,1623.52319160685,1455.85480938079,1307.45787231232,440.35655096487,0
move_dist,11.1860893809949,25.3228010489466,12.1022403636218,22.4739472591316,4.50278993101415e-09
dist_sg,16355.1133082583,13147.6338541701,9531.85654478048,6297.65876396853,0
N,59473,"",24423,"",""
