time_period,vinex,value,variable,measure
4,Niet-Vinex,0.0525043936731107,moved,mean
4,Niet-Vinex,0.000996766178983062,moved,se
5,Niet-Vinex,0.0544709761214907,moved,mean
5,Niet-Vinex,0.00101448120050783,moved,se
6,Niet-Vinex,0.060350863155368,moved,mean
6,Niet-Vinex,0.00106508197306934,moved,se
7,Niet-Vinex,0.0658339838667708,moved,mean
7,Niet-Vinex,0.00110951857809553,moved,se
8,Niet-Vinex,0.0666519885510698,moved,mean
8,Niet-Vinex,0.00111587910115741,moved,se
-4,Vinex,0,moved,mean
-4,Vinex,0,moved,se
-3,Vinex,0.0233180655523169,moved,mean
-3,Vinex,0.00116396247701588,moved,se
-2,Vinex,0.041054322603677,moved,mean
-2,Vinex,0.00153053853559039,moved,se
-1,Vinex,0.124739629828007,moved,mean
-1,Vinex,0.00254912051298836,moved,se
0,Vinex,0.961864406779661,moved,mean
0,Vinex,0.00147961922057786,moved,se
1,Vinex,0.0940720881739649,moved,mean
1,Vinex,0.00225335427339864,moved,se
2,Vinex,0.0546646795827124,moved,mean
2,Vinex,0.00175520572349828,moved,se
3,Vinex,0.0532816229116945,moved,mean
3,Vinex,0.00173490251076432,moved,se
4,Vinex,0.0563943426627678,moved,mean
4,Vinex,0.00178208273029824,moved,se
5,Vinex,0.057045576727794,moved,mean
5,Vinex,0.00179258026892101,moved,se
6,Vinex,0.0607183410028088,moved,mean
6,Vinex,0.00184622208389644,moved,se
7,Vinex,0.0717145759875695,moved,mean
7,Vinex,0.00199466770007272,moved,se
8,Vinex,0.0821786908743431,moved,mean
8,Vinex,0.00212247233847721,moved,se
-4,Niet-Vinex,16422.1123524068,comm_dist,mean
-4,Niet-Vinex,104.348628534113,comm_dist,se
-3,Niet-Vinex,16577.6442013559,comm_dist,mean
-3,Niet-Vinex,105.510142382897,comm_dist,se
-2,Niet-Vinex,16897.3993702251,comm_dist,mean
-2,Niet-Vinex,108.372559199838,comm_dist,se
-1,Niet-Vinex,17307.855144426,comm_dist,mean
-1,Niet-Vinex,111.452197698102,comm_dist,se
0,Niet-Vinex,17990.3541938767,comm_dist,mean
0,Niet-Vinex,112.685553213253,comm_dist,se
1,Niet-Vinex,17519.5147175953,comm_dist,mean
1,Niet-Vinex,109.436499129743,comm_dist,se
2,Niet-Vinex,17571.8026652303,comm_dist,mean
2,Niet-Vinex,108.510638787828,comm_dist,se
3,Niet-Vinex,17567.4026785777,comm_dist,mean
3,Niet-Vinex,108.605679154765,comm_dist,se
4,Niet-Vinex,18580.6929794975,comm_dist,mean
4,Niet-Vinex,113.104578350714,comm_dist,se
5,Niet-Vinex,19738.5983936488,comm_dist,mean
5,Niet-Vinex,117.627927974915,comm_dist,se
6,Niet-Vinex,20758.0586745695,comm_dist,mean
6,Niet-Vinex,120.139940042123,comm_dist,se
7,Niet-Vinex,21456.2276365722,comm_dist,mean
7,Niet-Vinex,121.864941902504,comm_dist,se
8,Niet-Vinex,21294.9500611323,comm_dist,mean
8,Niet-Vinex,120.23118393108,comm_dist,se
-4,Vinex,16855.0772446681,comm_dist,mean
-4,Vinex,171.744187549089,comm_dist,se
-3,Vinex,16533.0355964081,comm_dist,mean
-3,Vinex,167.53307524809,comm_dist,se
-2,Vinex,16600.483868481,comm_dist,mean
-2,Vinex,173.27748770286,comm_dist,se
-1,Vinex,17151.2070180871,comm_dist,mean
-1,Vinex,183.355665787684,comm_dist,se
0,Vinex,17295.2641369272,comm_dist,mean
0,Vinex,171.465109521485,comm_dist,se
1,Vinex,16953.2171867635,comm_dist,mean
1,Vinex,165.792542059055,comm_dist,se
2,Vinex,17069.5452228598,comm_dist,mean
2,Vinex,167.224513209197,comm_dist,se
3,Vinex,17063.2033506066,comm_dist,mean
3,Vinex,166.191502214693,comm_dist,se
4,Vinex,17922.4304098789,comm_dist,mean
4,Vinex,172.309870432737,comm_dist,se
5,Vinex,18841.1704024509,comm_dist,mean
5,Vinex,175.579778349169,comm_dist,se
6,Vinex,20328.4858442741,comm_dist,mean
6,Vinex,184.747455752118,comm_dist,se
7,Vinex,21109.7849972712,comm_dist,mean
7,Vinex,184.318227060308,comm_dist,se
8,Vinex,21223.4486291108,comm_dist,mean
8,Vinex,190.056556562331,comm_dist,se
